,tconst,title_type,primary_title,original_title,year,runtime_minutes,simple_title,average_rating,num_votes,timestamp,release_date
0,tt0011462,movie,Midsummer Madness,Midsummer Madness,1920.0,60.0,midsummer madness,7.4,19,01/01/24 14:30,01/01/24
1,tt0026714,movie,A Midsummer Night's Dream,A Midsummer Night's Dream,1935.0,133.0,a midsummer nights dream,6.8,3931,01/01/24 14:30,01/01/24
2,tt0033864,movie,The Teachers on Summer Vacation,Magistrarna på sommarlov,1941.0,86.0,the teachers on summer vacation,5.5,78,01/01/24 14:30,01/01/24
3,tt0037325,movie,Summer Storm,Summer Storm,1944.0,106.0,summer storm,6.6,688,01/01/24 14:30,01/01/24
4,tt0038406,movie,Centennial Summer,Centennial Summer,1946.0,102.0,centennial summer,6.1,431,01/01/24 14:30,01/01/24
5,tt0038738,tvMovie,A Midsummer Night's Dream,A Midsummer Night's Dream,1946.0,150.0,a midsummer nights dream,7.5,10,01/01/24 14:30,01/01/24
6,tt0039354,movie,One Swallow Does Not Make a Summer,En fluga gör ingen sommar,1947.0,88.0,one swallow does not make a summer,5.8,40,01/01/24 14:30,01/01/24
7,tt0040848,movie,Summer Holiday,Summer Holiday,1948.0,93.0,summer holiday,5.7,668,01/01/24 14:30,01/01/24
8,tt0041507,movie,In the Good Old Summertime,In the Good Old Summertime,1949.0,102.0,in the good old summertime,7.1,4358,01/01/24 14:30,01/01/24
9,tt0042930,movie,Bountiful Summer,Shchedroe leto,1951.0,87.0,bountiful summer,5.7,112,01/01/24 14:30,01/01/24
10,tt0043012,movie,Summer Stock,Summer Stock,1950.0,108.0,summer stock,7.1,4873,01/01/24 14:30,01/01/24
11,tt0043313,movie,Early Summer,Bakushû,1951.0,125.0,early summer,8.1,9793,01/01/24 14:30,01/01/24
12,tt0043652,movie,One Summer of Happiness,Hon dansade en sommar,1951.0,103.0,one summer of happiness,6.8,900,01/01/24 14:30,01/01/24
13,tt0044060,movie,Summer Interlude,Sommarlek,1951.0,96.0,summer interlude,7.5,6724,01/01/24 14:30,01/01/24
