,tconst,genres
0,tt0011462,Drama
1,tt0026714,Comedy
2,tt0026714,Fantasy
3,tt0026714,Romance
4,tt0033864,Comedy
5,tt0037325,Crime
6,tt0037325,Drama
7,tt0037325,Film-Noir
8,tt0038406,History
9,tt0038406,Music
10,tt0038406,Romance
11,tt0038738,Drama
12,tt0038738,Fantasy
13,tt0039354,Comedy
14,tt0040848,Musical
15,tt0041507,Comedy
16,tt0041507,Musical
17,tt0041507,Romance
18,tt0042930,Comedy
19,tt0042930,Drama
20,tt0042930,Musical
21,tt0043012,Musical
22,tt0043012,Romance
23,tt0043313,Comedy
24,tt0043313,Drama
25,tt0043313,Romance
26,tt0043652,Drama
27,tt0043652,Romance
28,tt0044060,Drama
29,tt0044060,Romance
30,tt0046345,Drama
31,tt0046345,Romance
32,tt0047173,Action
33,tt0047173,Drama
34,tt0047173,Romance
35,tt0047289,Comedy
36,tt0047289,Drama
37,tt0048641,Comedy
38,tt0048641,Romance
39,tt0048673,Comedy
40,tt0048673,Drama
41,tt0048673,Romance
42,tt0048771,Drama
43,tt0049439,Comedy
44,tt0049439,Music
45,tt0049613,Drama
46,tt0049632,Drama
47,tt0050524,Crime
48,tt0050524,Drama
49,tt0050524,Film-Noir
50,tt0050994,Comedy
51,tt0050994,Drama
52,tt0050994,Romance
53,tt0051791,Drama
54,tt0051878,Drama
55,tt0052037,Drama
56,tt0052037,Romance
57,tt0052258,Comedy
58,tt0052258,Musical
59,tt0052258,Romance
60,tt0052786,Drama
61,tt0052786,Romance
62,tt0052786,War
63,tt0052942,Documentary
64,tt0052942,Music
65,tt0053261,Animation
66,tt0053261,Comedy
67,tt0053261,Fantasy
68,tt0053292,Drama
69,tt0053292,Romance
70,tt0053318,Drama
71,tt0053318,Mystery
72,tt0053318,Thriller
73,tt0053320,Drama
74,tt0053320,Romance
75,tt0053395,Comedy
76,tt0054745,Documentary
77,tt0054745,History
78,tt0055052,Drama
79,tt0055299,Drama
80,tt0055489,Drama
81,tt0055489,Romance
82,tt0056153,Drama
83,tt0057074,Comedy
84,tt0057541,Comedy
85,tt0057541,Musical
86,tt0057541,Romance
87,tt0057542,Comedy
88,tt0057542,Family
89,tt0057542,Musical
90,tt0058600,Comedy
91,tt0058600,Musical
92,tt0059562,Crime
93,tt0059562,Drama
94,tt0059771,Comedy
95,tt0059771,Musical
96,tt0059771,Romance
97,tt0060045,Crime
98,tt0060045,Drama
99,tt0060045,Romance
100,tt0060371,Documentary
101,tt0060371,Sport
102,tt0060694,Music
103,tt0061788,Adventure
104,tt0061788,Drama
105,tt0061788,Mystery
106,tt0062009,Crime
107,tt0062009,Drama
108,tt0062322,Drama
109,tt0062484,Action
110,tt0062484,Crime
111,tt0062484,Drama
112,tt0062619,Comedy
113,tt0062619,Drama
114,tt0062619,Romance
115,tt0063223,Drama
116,tt0063297,Comedy
117,tt0063297,Fantasy
118,tt0063297,Romance
119,tt0063351,Documentary
120,tt0063527,Comedy
121,tt0063544,Drama
122,tt0063544,Romance
123,tt0064573,Drama
124,tt0064761,Drama
125,tt0064761,Romance
126,tt0064808,Adventure
127,tt0064808,Drama
128,tt0065618,Drama
129,tt0065618,Mystery
130,tt0065618,Thriller
131,tt0065701,Drama
132,tt0065701,Romance
133,tt0065973,Action
134,tt0065973,Crime
135,tt0065973,Drama
136,tt0066421,Drama
137,tt0067028,Drama
138,tt0067028,Romance
