,Unnamed: 0_x,tconst,genres,Unnamed: 0_y,title_type,primary_title,original_title,year,runtime_minutes,simple_title,average_rating,num_votes,timestamp,release_date
0,0,tt0011462,Drama,0,movie,Midsummer Madness,Midsummer Madness,1920.0,60.0,midsummer madness,7.4,19,01/01/24 14:30,01/01/24
1,1,tt0026714,Comedy,1,movie,A Midsummer Night's Dream,A Midsummer Night's Dream,1935.0,133.0,a midsummer nights dream,6.8,3931,01/01/24 14:30,01/01/24
2,2,tt0026714,Fantasy,1,movie,A Midsummer Night's Dream,A Midsummer Night's Dream,1935.0,133.0,a midsummer nights dream,6.8,3931,01/01/24 14:30,01/01/24
3,3,tt0026714,Romance,1,movie,A Midsummer Night's Dream,A Midsummer Night's Dream,1935.0,133.0,a midsummer nights dream,6.8,3931,01/01/24 14:30,01/01/24
4,4,tt0033864,Comedy,2,movie,The Teachers on Summer Vacation,Magistrarna på sommarlov,1941.0,86.0,the teachers on summer vacation,5.5,78,01/01/24 14:30,01/01/24
5,5,tt0037325,Crime,3,movie,Summer Storm,Summer Storm,1944.0,106.0,summer storm,6.6,688,01/01/24 14:30,01/01/24
6,6,tt0037325,Drama,3,movie,Summer Storm,Summer Storm,1944.0,106.0,summer storm,6.6,688,01/01/24 14:30,01/01/24
7,7,tt0037325,Film-Noir,3,movie,Summer Storm,Summer Storm,1944.0,106.0,summer storm,6.6,688,01/01/24 14:30,01/01/24
8,8,tt0038406,History,4,movie,Centennial Summer,Centennial Summer,1946.0,102.0,centennial summer,6.1,431,01/01/24 14:30,01/01/24
9,9,tt0038406,Music,4,movie,Centennial Summer,Centennial Summer,1946.0,102.0,centennial summer,6.1,431,01/01/24 14:30,01/01/24
10,10,tt0038406,Romance,4,movie,Centennial Summer,Centennial Summer,1946.0,102.0,centennial summer,6.1,431,01/01/24 14:30,01/01/24
11,11,tt0038738,Drama,5,tvMovie,A Midsummer Night's Dream,A Midsummer Night's Dream,1946.0,150.0,a midsummer nights dream,7.5,10,01/01/24 14:30,01/01/24
12,12,tt0038738,Fantasy,5,tvMovie,A Midsummer Night's Dream,A Midsummer Night's Dream,1946.0,150.0,a midsummer nights dream,7.5,10,01/01/24 14:30,01/01/24
13,13,tt0039354,Comedy,6,movie,One Swallow Does Not Make a Summer,En fluga gör ingen sommar,1947.0,88.0,one swallow does not make a summer,5.8,40,01/01/24 14:30,01/01/24
14,14,tt0040848,Musical,7,movie,Summer Holiday,Summer Holiday,1948.0,93.0,summer holiday,5.7,668,01/01/24 14:30,01/01/24
15,15,tt0041507,Comedy,8,movie,In the Good Old Summertime,In the Good Old Summertime,1949.0,102.0,in the good old summertime,7.1,4358,01/01/24 14:30,01/01/24
16,16,tt0041507,Musical,8,movie,In the Good Old Summertime,In the Good Old Summertime,1949.0,102.0,in the good old summertime,7.1,4358,01/01/24 14:30,01/01/24
17,17,tt0041507,Romance,8,movie,In the Good Old Summertime,In the Good Old Summertime,1949.0,102.0,in the good old summertime,7.1,4358,01/01/24 14:30,01/01/24
18,18,tt0042930,Comedy,9,movie,Bountiful Summer,Shchedroe leto,1951.0,87.0,bountiful summer,5.7,112,01/01/24 14:30,01/01/24
19,19,tt0042930,Drama,9,movie,Bountiful Summer,Shchedroe leto,1951.0,87.0,bountiful summer,5.7,112,01/01/24 14:30,01/01/24
20,20,tt0042930,Musical,9,movie,Bountiful Summer,Shchedroe leto,1951.0,87.0,bountiful summer,5.7,112,01/01/24 14:30,01/01/24
21,21,tt0043012,Musical,10,movie,Summer Stock,Summer Stock,1950.0,108.0,summer stock,7.1,4873,01/01/24 14:30,01/01/24
22,22,tt0043012,Romance,10,movie,Summer Stock,Summer Stock,1950.0,108.0,summer stock,7.1,4873,01/01/24 14:30,01/01/24
23,23,tt0043313,Comedy,11,movie,Early Summer,Bakushû,1951.0,125.0,early summer,8.1,9793,01/01/24 14:30,01/01/24
24,24,tt0043313,Drama,11,movie,Early Summer,Bakushû,1951.0,125.0,early summer,8.1,9793,01/01/24 14:30,01/01/24
25,25,tt0043313,Romance,11,movie,Early Summer,Bakushû,1951.0,125.0,early summer,8.1,9793,01/01/24 14:30,01/01/24
